jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=vaccine_name, 
1003,  1920,  completed,  eof,  2016-02-22 01:25:14,  2016-02-22 01:25:20,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.014084828438.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0937642824352,  459,  None,  None,  1,  0.014084828438,  9,  12,  1,  0.0937642824352,  0.534934497817, 
1003,  1921,  completed,  eof,  2016-02-22 01:25:18,  2016-02-22 01:25:24,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.5.modelParams|clParams|alpha_0.03007.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.07009,  459,  None,  4.5,  None,  0.03007,  10,  13,  2,  0.07009,  0.569868995633, 
1003,  1922,  completed,  eof,  2016-02-22 01:25:19,  2016-02-22 01:25:25,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.00734245710949.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0922098206088,  459,  None,  None,  1,  0.00734245710949,  9,  12,  1,  0.0922098206088,  0.541484716157, 
1003,  1923,  completed,  eof,  2016-02-22 01:25:20,  2016-02-22 01:25:26,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_4.02501075522.modelParams|clParams|alpha_0.0256102494518.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0801667844448,  459,  None,  4.02501075522,  None,  0.0256102494518,  9,  13,  2,  0.0801667844448,  0.563318777293, 
1003,  1924,  completed,  eof,  2016-02-22 01:25:21,  2016-02-22 01:25:27,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.0118373713285.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0965694618264,  459,  None,  None,  1,  0.0118373713285,  9,  12,  1,  0.0965694618264,  0.53711790393, 
1003,  1925,  completed,  killed,  2016-02-22 01:25:24,  2016-02-22 01:25:27,  3,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_5.06800231235.modelParams|clParams|alpha_0.0216304488594.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0825550552388,  200,  None,  5.06800231235,  None,  0.0216304488594,  9,  13,  2,  0.0825550552388,  0.673366834171, 
1003,  1926,  completed,  killed,  2016-02-22 01:25:26,  2016-02-22 01:25:27,  1,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  100,  None,  None,  1,  0.0001,  9,  12,  1,  0.1,  0.747474747475, 
1003,  1927,  completed,  eof,  2016-02-22 01:25:27,  2016-02-22 01:25:31,  4,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0992045680356,  459,  None,  None,  1,  0.0001,  9,  12,  1,  0.0992045680356,  0.521834061135, 


